source_id,source_pdf_page,source_table_row_order,decision_unit_id,presentation_category,january_source_name,strategic_alignment,critical_asset,community_consideration,efficiency,timeliness_readiness,climate_resilience,grand_total
austin_2026_bond_initial_draft_2026_01_21,5,1,community-facilities/acme/dougherty-arts-center,Community Facilities,Dougherty Arts Center,8,7,16,17,16,13,77
austin_2026_bond_initial_draft_2026_01_21,5,2,community-facilities/acme/george-washington-carver-museum,Community Facilities,George Washington Carver Museum Phase 1a and 1b,8,5,19,15,14,9,70
austin_2026_bond_initial_draft_2026_01_21,5,3,community-facilities/acme/elizabet-ney-museum,Community Facilities,Elizabet Ney Museum ADA Restroom and Storage Facility,8,5,18,14,16,5,66
austin_2026_bond_initial_draft_2026_01_21,5,4,community-facilities/acme/mexican-american-cultural-center,Community Facilities,Mexican American Cultural Center,8,3,19,15,11,8,64
austin_2026_bond_initial_draft_2026_01_21,5,5,community-facilities/acme/zilker-hillside-theatre,Community Facilities,Zilker Hillside Theatre,8,5,15,15,9,7,59
austin_2026_bond_initial_draft_2026_01_21,5,6,community-facilities/acme/asian-american-resource-center,Community Facilities,Asian American Resource Center,8,5,20,13,9,5,60
austin_2026_bond_initial_draft_2026_01_21,5,7,community-facilities/acme/old-bakery-and-emporium,Community Facilities,Old Bakery and Emporium,8,3,14,12,3,5,45
austin_2026_bond_initial_draft_2026_01_21,5,8,community-facilities/library/colony-park-branch-library,Community Facilities,Colony Park Branch Library,8,6,18,14,6,17,69
austin_2026_bond_initial_draft_2026_01_21,5,9,community-facilities/library/hampton-oak-hill,Community Facilities,Hampton at Oak Hill Branch Renovation and Expansion,8,6,17,11,10,13,65
austin_2026_bond_initial_draft_2026_01_21,5,10,community-facilities/library/milwood-branch,Community Facilities,Milwood Branch Library Renovation and Expansion,8,6,17,11,10,13,65
austin_2026_bond_initial_draft_2026_01_21,5,11,transportation/barton-springs-bridge,Transportation,Bridge Rehabilitation & Reconstruction Program - Barton Springs Bridge,8,6,17,17,17,15,80
austin_2026_bond_initial_draft_2026_01_21,5,12,transportation/act-plan-7th-street,Transportation,ACT Plan (Austin Core Transportation Plan) Program - 7th Street,8,8,15,17,11,13,72
austin_2026_bond_initial_draft_2026_01_21,5,13,transportation/act-plan-6th-street,Transportation,ACT Plan (Austin Core Transportation Plan) Program - 6th Street,8,6,15,16,11,13,69
austin_2026_bond_initial_draft_2026_01_21,5,14,transportation/west-william-cannon-rehab,Transportation,Bridge Rehabilitation & Reconstruction Program - West William Cannon Dr. Rehab,8,6,18,10,18,8,68
austin_2026_bond_initial_draft_2026_01_21,5,15,transportation/delwau-ln-replacement,Transportation,Bridge Rehabilitation & Reconstruction Program - Delwau Ln Replacement,8,6,18,12,6,15,65
austin_2026_bond_initial_draft_2026_01_21,5,16,transportation/river-plantation-dr,Transportation,Bridge Rehabilitation & Reconstruction Program - River Plantation Dr.,8,6,17,12,6,15,64
austin_2026_bond_initial_draft_2026_01_21,5,17,transportation/w-slaughter-ln,Transportation,Bridge Rehabilitation & Reconstruction Program - W. Slaughter Ln,8,6,18,10,13,8,63
austin_2026_bond_initial_draft_2026_01_21,5,18,transportation/e-7th-st,Transportation,Bridge Rehabilitation & Reconstruction Program - E. 7th St,8,6,19,8,8,9,58
austin_2026_bond_initial_draft_2026_01_21,5,19,transportation/hart-ln-retaining-walls,Transportation,Bridge Rehabilitation & Reconstruction Program - Hart Ln Retaining Walls,8,5,17,11,4,13,58
austin_2026_bond_initial_draft_2026_01_21,6,20,community-facilities/public-health/colony-park,Community Facilities,Colony Park Public Health Center,8,8,20,16,10,12,74
austin_2026_bond_initial_draft_2026_01_21,6,21,community-facilities/public-health/northeast,Community Facilities,Northeast Public Health Center,8,6,20,16,10,12,72
austin_2026_bond_initial_draft_2026_01_21,6,22,community-facilities/ems/demand-station-1,Community Facilities,ATCEMS Demand Station #1 (401 E 5th St),4,5,18,16,3,10,56
austin_2026_bond_initial_draft_2026_01_21,6,23,community-facilities/ems/station-03,Community Facilities,ATCEMS Station #03 (1305 Red River St),4,5,18,15.5,3,9,54.5
austin_2026_bond_initial_draft_2026_01_21,6,24,community-facilities/ems/station-14,Community Facilities,ATCEMS Station #14 (7200 Berkman Dr),4,6,18,12.5,4,9,53.5
austin_2026_bond_initial_draft_2026_01_21,6,25,community-facilities/ems/demand-station-9,Community Facilities,ATCEMS Demand Station #9,4,5,13,16,3,10,51
austin_2026_bond_initial_draft_2026_01_21,6,26,community-facilities/ems/demand-station-2,Community Facilities,ATCEMS Demand Station #2,4,5,13,11,3,10,46
austin_2026_bond_initial_draft_2026_01_21,6,27,community-facilities/ems/demand-station-4,Community Facilities,ATCEMS Demand Station #4,4,5,13,11,3,10,46
austin_2026_bond_initial_draft_2026_01_21,6,28,community-facilities/ems/demand-station-3,Community Facilities,ATCEMS Demand Station #3 (1705 S Congress Ave),4,5,13,11,3,10,46
austin_2026_bond_initial_draft_2026_01_21,6,29,community-facilities/fire/station-26,Community Facilities,Fire Station 26 Expansion,6,6,15,13,6,4,50
