official_source_table_row_order,official_subproject_id,official_project_name,gis_snapshot_id,gis_source_layer_id,gis_source_layer_name,match_method,match_status,match_count,match_ordinal,gis_object_id,gis_lrcsp_rolling_needs_id,gis_subproject_id_raw_token,gis_subproject_id_canonical_3dp,gis_subproject_name,project_name_exact_match,gis_subproject_status,gis_subproject_phase,gis_subproject_type_category,gis_department,geometry_present,geometry_type,geometry_crs_wkid,geometry_crs_latest_wkid
1,4015.001,Country Club Creek (Between Metcalfe & Oltorf) Wastewater Improvements,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
2,5282.043,Tannehill Creek - Morris Williams Stormwater Improvements,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,412,359,5282.043,5282.043,Tannehill Creek - Morris Williams Stormwater Improvements,true,ACTIVE,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
3,5282.133,Boggy Creek - Kealing Park Green Infrastructure Retrofit,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,497,462,5282.133,5282.133,Boggy Creek - Kealing Park Green Infrastructure Retrofit,true,ACTIVE,DESIGN,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
4,5282.134,Tannehill Creek - Bartholomew Park Stormwater Treatment Retrofit,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,194,186,5282.134,5282.134,Tannehill Creek - Bartholomew Park Stormwater Treatment Retrofit,true,ACTIVE,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
5,5282.150,Lady Bird Lake - West Austin Park Water Quality Retrofits,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
6,5282.162,Colorado River - CAPEX Water Quality Control,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
7,5754.089,Walnut Creek - McNeil Drive Low Water Crossing Improvements,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,305,256,5754.089,5754.089,Walnut Creek - McNeil Drive Low Water Crossing Improvements,true,ACTIVE,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
8,5754.139,Onion Creek - Paces Mill Creek Flood Risk Reduction,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
9,5754.145,Dry Creek North - Highland Hills Low Water Crossing Improvements,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
10,5754.147,Boggy Creek - Corps Flood Control Channel Ecosystem Restoration,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
11,5754.149,Country Club West - Riverside Farms Low Water Crossing Improvements Project,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
12,5789.075,"Waller Creek - Guadalupe St, W. 35-37th Storm Drain Improvements",20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,165,134,5789.075,5789.075,"Waller Creek - Guadalupe St, W. 35-37th Storm Drain Improvements",true,ACTIVE,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
13,5789.107,Barton Creek – Oak Park Local Flood Risk Reduction Project,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,366,344,5789.107,5789.107,Barton Creek – Oak Park Local Flood Risk Reduction Project,true,ACTIVE,DESIGN,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
14,5789.121,Taylor Slough South - Warren St Storm Drain Improvements,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,234,223,5789.121,5789.121,Taylor Slough South - Warren St Storm Drain Improvements,true,ACTIVE,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
15,5789.126,Walnut Creek - North Acres Storm Drain Improvements,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,217,196,5789.126,5789.126,Walnut Creek - North Acres Storm Drain Improvements,true,ACTIVE,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
16,5789.127,"Zilker, Bluebonnet Hether, Water and Wastewater Pipeline Renewal",20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,379,368,5789.127,5789.127,West Bouldin Creek -  Hether St. Stormdrain Improvements,false,ACTIVE,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
17,5789.136,Slaughter Creek - Vassal Dr Storm Drain Improvements,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
18,5789.139,Walnut Creek - West Cow Path Flood Risk Reduction,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
19,5789.141,Boggy Creek - Oakwood Cemetery Storm Drain Improvements,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
20,5789.150,Lady Bird Lake – Citywide Storm Drain Renewal Program – Phase 1,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
21,5789.145,Williamson Creek - Brassiewood Dr Ph 3 Neighborhood Stormdrain Improvements,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
22,5789.146,East Bouldin - Annie Street Flood Risk Reduction Project - Phase 2,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
23,5848.053,Boggy Creek - Clarkson Tributary Rehabilitation,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,140,99,5848.053,5848.053,Boggy Creek - Clarkson Tributary Rehabilitation,true,ANTICIPATED,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
24,5848.070,Shoal Creek - Grover Channel Stabilization (from Brentwood PER),20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
25,5848.071,Walnut Creek - Wells Branch Willow Bend Stream Restoration,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,48,25,5848.071,5848.071,Walnut Creek - Wells Branch Willow Bend Stream Restoration,true,ANTICIPATED,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
26,5848.087,Barton Creek Tributary - Sunken Gardens Erosion Protection,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
27,5848.091,Walnut Creek - Eubank Tributary Stream Stabilization,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
28,5848.092,Little Walnut Creek - Loyola Lane & Dottie Jordan Park Stream Stabilization,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
29,6039.109,Shoal Creek - Brentwood Integrated Drainage Improvements,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,339,328,6039.109,6039.109,Shoal Creek - Brentwood Integrated Drainage Improvements,true,ACTIVE,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
30,7492.011,Walnut Creek - Duval East and Duval West Dam Modernization,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,498,481,7492.011,7492.011,Walnut Creek - Duval East and Duval West Dam Modernization,true,HOLD,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
31,7492.032,Shoal Creek - Northwest Park Dam Rehabilitation and Modernization,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,single_match,1,1,197,189,7492.032,7492.032,Shoal Creek - Northwest Park Dam Maintenance and Modernization,false,ACTIVE,PRELIMINARY,Stormwater,Watershed Protection,true,esriGeometryPolygon,102739,2277
32,7492.045,Bull Creek - Bintliff Dr Dam Modernization,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
33,8598.014,Boggy Creek - MLK TOD Stormwater Conveyance Improvements Phase 3,20260901T183323Z,8,RNA Projects,exact_decimal_three_place_canonicalization,zero_match,0,,,,,,,,,,,,,,,
