source_id,source_pdf_page,source_table_row_order,canonical_project_id,january_source_name,strategic_alignment,critical_asset,community_consideration,efficiency,timeliness_readiness,climate_resilience,grand_total
austin_2026_bond_initial_draft_2026_01_21,8,1,5282.134,Walnut Creek - Tannehill Creek Bartholomew Park Stormwater Retrofit,8,6,16,14,18,12,74
austin_2026_bond_initial_draft_2026_01_21,8,2,5789.126,Walnut Creek - North Acres Storm Drain Improvements,8,5,19,14,18,9,73
austin_2026_bond_initial_draft_2026_01_21,8,3,5282.043,Tannehill Creek - Morris Williams Stormwater Improvements,8,6,16,13,18,12,73
austin_2026_bond_initial_draft_2026_01_21,8,4,5282.133,Boggy Creek Kealing Park Green Infrastructure Retrofits,8,6,17,12,18,12,73
austin_2026_bond_initial_draft_2026_01_21,8,5,5754.089,Walnut Creek - McNeal Dr Low Water Crossing Improvement,8,5,15,13,18,12,71
austin_2026_bond_initial_draft_2026_01_21,8,6,5282.150,Lady Bird Lake - W. Austin Park Water Quality Retrofits,8,6,11,14,18,12,69
austin_2026_bond_initial_draft_2026_01_21,8,7,5789.145,Williamson Creek - Brassiewood Dr. Phase III Stormwater Improvements,8,5,19,14,13,9,68
austin_2026_bond_initial_draft_2026_01_21,8,8,5282.162,CapEx,8,7,12,16,13,12,68
austin_2026_bond_initial_draft_2026_01_21,8,9,5789.075,Waller Creek - Guadalupe St. Flood Risk Reduction Phase I - III,8,5,14,15,16,9,67
austin_2026_bond_initial_draft_2026_01_21,8,10,8598.014,Boggy Creek - MLK TOD Stormwater Conveyance Improvements Phase III,8,5,13,12,18,11,67
austin_2026_bond_initial_draft_2026_01_21,8,11,5848.092,Little Walnut Creek Loyola Ln. and Dottie Jordan Park Stream Stabilization,8,6,16,13,12,12,67
austin_2026_bond_initial_draft_2026_01_21,8,12,5754.145,Dry Creek North - Highland Hills Low Water Crossing,8,5,15,12,14,12,66
austin_2026_bond_initial_draft_2026_01_21,9,13,5789.146,E. Bouldin - Annie St. Flood Risk Reduction Phase II,8,5,13,13,18,9,66
austin_2026_bond_initial_draft_2026_01_21,9,14,4015.001,Country Club Creek Metcalf & Oltorf Wastewater Improvements,8,6,16,13,12,11,66
austin_2026_bond_initial_draft_2026_01_21,9,15,5754.139,Onion Creek - Paces Mill Creek Flood Risk Reduction,8,5,19,9,12,12,65
austin_2026_bond_initial_draft_2026_01_21,9,16,5789.136,Slaughter Creek - Vassal Dr. Flood Risk Reduction Phase I,8,5,15,12,16,9,65
austin_2026_bond_initial_draft_2026_01_21,9,17,10878.010,Waller Creek Tunnel Outlet Improvement,8,5,14,14,14,10,65
austin_2026_bond_initial_draft_2026_01_21,9,18,5789.107,Barton Creek - Oak Park Local Flood Risk Reduction,8,5,13,13,16,9,64
austin_2026_bond_initial_draft_2026_01_21,9,19,5848.091,Walnut Creek - Eubank Tributary Stream Stabilization,8,5,14,10,17,10,64
austin_2026_bond_initial_draft_2026_01_21,9,20,5754.149,Country Club West - Riverside Farms Low Water Crossing Improvements,8,5,19,10,9,12,63
austin_2026_bond_initial_draft_2026_01_21,9,21,11889.004,William Cannon Dr. Corridor,8,6,13,13,16,7,63
austin_2026_bond_initial_draft_2026_01_21,9,22,9999.236,Johnson Creek Low Water Crossing,8,5,15,13,9,12,62
austin_2026_bond_initial_draft_2026_01_21,9,23,5754.147,Boggy Creek - Corps Flood Control Ecosystem Restoration,8,5,16,12,9,12,62
austin_2026_bond_initial_draft_2026_01_21,9,24,5848.053,Boggy Creek - Clarkson Tributary Rehabilitation,8,6,14,13,9,12,62
austin_2026_bond_initial_draft_2026_01_21,9,25,5848.071,Walnut Creek - Wells Branch Willow Bend Stream Restoration,8,5,12,11,16,10,62
austin_2026_bond_initial_draft_2026_01_21,9,26,5789.141,Boggy Creek - Oakwood Cemetery Storm drain Reroute,8,4,11,13,16,9,61
austin_2026_bond_initial_draft_2026_01_21,9,27,6039.109,Shoal Creek - Brentwood Drainage Improvement,8,5,14,11,11,12,61
austin_2026_bond_initial_draft_2026_01_21,9,28,5789.150,City Storm Drain Renewal Downtown,8,5,16,12,14,5,60
austin_2026_bond_initial_draft_2026_01_21,10,29,5789.127,West Boldin Creek - Hether St. Storm drain Improvements,8,4,16,11,14,7,60
austin_2026_bond_initial_draft_2026_01_21,10,30,9999.235,Walnut Creek - Oak Creek Low Water Crossing,8,5,15,10,9,12,59
austin_2026_bond_initial_draft_2026_01_21,10,31,7492.011,Walnut Creek Duval Dam Modernization,8,5,12,10,14,10,59
austin_2026_bond_initial_draft_2026_01_21,10,32,7492.032,Shoal Creek - NW Park Dam Modernization,8,5,12,10,14,10,59
austin_2026_bond_initial_draft_2026_01_21,10,33,5789.121,Taylor Slough S. - Warren St. Flood Risk Reduction,8,5,14,13,13,5,58
austin_2026_bond_initial_draft_2026_01_21,10,34,5789.139,Walnut Creek - West Cow Path Flood Risk Reduction,6,5,12,11,13,9,56
austin_2026_bond_initial_draft_2026_01_21,10,35,7492.045,Bull Creek - Bintliff Dam Modernization,8,5,10,10,13,10,56
austin_2026_bond_initial_draft_2026_01_21,10,36,5848.087,Sunken Garden Erosion Protection,8,6,6,14,12,10,56
austin_2026_bond_initial_draft_2026_01_21,10,37,5848.070,Shoal Creek - Grover Channel Stabilization,8,5,10,8,11,10,52
