research_status,decision_unit_id,governed_project_name,presentation_category,source_department,source_domain,candidate_source_title,source_url,arcgis_item_id,arcgis_service_id,layer_id,feature_object_id,source_agency,geometry_type,geometry_origin,source_date,last_updated_date,historically_compatible_with_2026_01_21,historical_fit_judgment,match_identifiers,match_method,match_confidence,ambiguity_flag,ambiguity_notes,multiple_possible_features,governance_eligibility,display_role,secondary_evidence,research_notes
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/acme/asian-american-resource-center,Asian American Resource Center,Community Facilities,ACME,Cultural / ACME,APR_CIP_Points,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/APR_CIP_Points/FeatureServer/0,01518974d257431885f54906cfa545b9,APR_CIP_Points,0,1,City of Austin,point,source-native,,2026-01-13T03:10:22Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: APR CIP item modified 2026-01-13,SUB_PROJECT_ID 7523.006; Asian American Resource Center Phase 2; 8401 Cameron Rd,Direct official capital-project/facility linkage,HIGH,false,,true,ELIGIBLE_FOR_GOVERNANCE_REVIEW,OFFICIAL_PROJECT_DISPLAY_POINT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/acme/dougherty-arts-center,Dougherty Arts Center,Community Facilities,ACME,Cultural / ACME,APR_CIP_Points,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/APR_CIP_Points/FeatureServer/0,01518974d257431885f54906cfa545b9,APR_CIP_Points,0,46,City of Austin,point,source-native,,2026-01-13T03:10:22Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: APR CIP item modified 2026-01-13,SUB_PROJECT_ID 896.003; Dougherty Arts Center Facility Replacement,Direct official capital-project/facility linkage,HIGH,false,,true,ELIGIBLE_FOR_GOVERNANCE_REVIEW,OFFICIAL_PROJECT_DISPLAY_POINT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/acme/elizabet-ney-museum,Elizabet Ney Museum ADA Restroom and Storage Facility,Community Facilities,ACME,Cultural / ACME,BOUNDARIES_city_of_austin_parks,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/BOUNDARIES_city_of_austin_parks/FeatureServer/0,8a140d1a6bfc46a8b34d2ba3e1db1c9d,BOUNDARIES_city_of_austin_parks,0,323,City of Austin,polygon,source-native,,2026-04-23T16:03:46Z,CONDITIONAL_STABLE_LOCATION,CONDITIONAL_STABLE_LOCATION: established museum site is stable; boundary refreshed after snapshot,Elisabet Ney Museum; 304 E 44th St; PARD also has separate museum and storage asset points,"Exact facility site, but governed ADA-restroom/storage project spans multiple possible asset features",MEDIUM,true,The museum polygon is contextual; precise restroom/storage construction footprint is unresolved.,true,NEEDS_MORE_EVIDENCE,FACILITY_SITE_CONTEXT,,The museum polygon is contextual; precise restroom/storage construction footprint is unresolved.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/acme/george-washington-carver-museum,George Washington Carver Museum Phase 1a and 1b,Community Facilities,ACME,Cultural / ACME,APR_CIP_Points,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/APR_CIP_Points/FeatureServer/0,01518974d257431885f54906cfa545b9,APR_CIP_Points,0,64,City of Austin,point,source-native,,2026-01-13T03:10:22Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: APR CIP item modified 2026-01-13,SUB_PROJECT_ID 5144.012; Carver Facility Expansion Phase 1A & 1B,Direct official capital-project/name linkage,HIGH,false,,true,ELIGIBLE_FOR_GOVERNANCE_REVIEW,OFFICIAL_PROJECT_DISPLAY_POINT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/acme/mexican-american-cultural-center,Mexican American Cultural Center,Community Facilities,ACME,Cultural / ACME,APR_CIP_Points,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/APR_CIP_Points/FeatureServer/0,01518974d257431885f54906cfa545b9,APR_CIP_Points,0,79,City of Austin,point,source-native,,2026-01-13T03:10:22Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: APR CIP item modified 2026-01-13,SUB_PROJECT_ID 5201.008; Mexican American Cultural Center Phase 2,Direct official capital-project/facility linkage,HIGH,false,,true,ELIGIBLE_FOR_GOVERNANCE_REVIEW,OFFICIAL_PROJECT_DISPLAY_POINT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/acme/old-bakery-and-emporium,Old Bakery and Emporium,Community Facilities,ACME,Cultural / ACME,APR_CIP_Points,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/APR_CIP_Points/FeatureServer/0,01518974d257431885f54906cfa545b9,APR_CIP_Points,0,52,City of Austin,point,source-native,,2026-01-13T03:10:22Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: APR CIP item modified 2026-01-13,SUB_PROJECT_ID 7562.005; Old Bakery and Emporium Historic Structures Report,Direct official capital-project/facility linkage,HIGH,false,,true,ELIGIBLE_FOR_GOVERNANCE_REVIEW,OFFICIAL_PROJECT_DISPLAY_POINT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/acme/zilker-hillside-theatre,Zilker Hillside Theatre,Community Facilities,ACME,Cultural / ACME,City of Austin PARD official special-event sites list,https://www.austintexas.gov/sites/default/files/files/Parks/Special_Events/policies/special%20event%20sites%20list.pdf,,,,,City of Austin,address-only,none,official facility record; publication date not stated,,CONDITIONAL_STABLE_LOCATION,"CONDITIONAL_STABLE_LOCATION: official address 2206 William Barton Dr identifies the established theatre, but no source-native theatre geometry was found",Zilker Hillside Theatre; 2206 William Barton Dr,Exact official facility name/address; address not geocoded in this investigation,MEDIUM,false,,false,NEEDS_MORE_EVIDENCE,UNMAPPED_OFFICIAL_ADDRESS,,A future authoritative geocode must be labeled derived geometry; do not substitute the nearby PARD restroom point or Zilker Park centroid.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/animal-services/campus-improvements,Animal Service Center Campus Improvements,Community Facilities,Animal Services,Animal Services,AFM Managed Facilities JUN26,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/AFM_Managed_Facilities_JUN26/FeatureServer/0,534c086c90eb403cbc952ebe9578c9e9,AFM_Managed_Facilities_JUN26,0,136,City of Austin,point,source-native,,2026-06-12T13:29:49Z,CONDITIONAL_STABLE_LOCATION,CONDITIONAL_STABLE_LOCATION: AFM layer published after snapshot; existing campus location is stable,Austin Animal Center; 7201 Levander Loop,Exact official facility name/address linkage,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,FACILITY_SITE_CONTEXT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/ems/demand-station-1,ATCEMS Demand Station #1 (401 E 5th St),Community Facilities,EMS,Emergency Medical Services,atcems_stations,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/atcems_stations/FeatureServer/0,0dec1c67e73c4e82983eea76702cc703,atcems_stations,0,48,City of Austin,point,source-native,,2025-10-01T17:40:49Z,NO_UNRESOLVED_CONFLICT,NO_UNRESOLVED_CONFLICT: official sources disagree on identity/address,Demand 01 at 2006 E 4th St; governed name embeds 401 E 5th St; AFM separately labels 401 E 5th as EMS Station 06 and 411 Chicon as EMS Demand 1,Exact demand identifier conflicts with governed address and later official facility inventory,MEDIUM,true,Do not display any candidate until EMS resolves the governed 401 E 5th address versus Demand 01 labels.,true,NEEDS_MORE_EVIDENCE,CONFLICTING_FACILITY_LOCATION,,Do not display any candidate until EMS resolves the governed 401 E 5th address versus Demand 01 labels.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/ems/demand-station-2,ATCEMS Demand Station #2,Community Facilities,EMS,Emergency Medical Services,atcems_stations,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/atcems_stations/FeatureServer/0,0dec1c67e73c4e82983eea76702cc703,atcems_stations,0,1,City of Austin,point,source-native,,2025-10-01T17:40:49Z,NO_UNRESOLVED_CONFLICT,NO_UNRESOLVED_CONFLICT: pre-snapshot EMS layer and post-snapshot AFM inventory disagree,Demand 02 at 12010 Brodie Ln; later AFM inventory labels 415 W 2nd St as EMS Demand 02,Exact demand identifier appears at conflicting official locations,MEDIUM,true,Do not display either point until the historical Demand 02 identity is resolved.,true,NEEDS_MORE_EVIDENCE,CONFLICTING_FACILITY_LOCATION,,Do not display either point until the historical Demand 02 identity is resolved.
