source_id,source_pdf_page,source_table_row_order,map_label,subproject_id,project_name,current_funding_request_estimate_source,current_funding_request_estimate_dollars,council_districts_source
austin_wpd_2026_bond_projects_2025_11_21,4,1,A,4015.001,Country Club Creek (Between Metcalfe & Oltorf) Wastewater Improvements,"$5,470,000",5470000,3
austin_wpd_2026_bond_projects_2025_11_21,4,2,B,5282.043,Tannehill Creek - Morris Williams Stormwater Improvements,"$8,500,000",8500000,1
austin_wpd_2026_bond_projects_2025_11_21,4,3,C,5282.133,Boggy Creek - Kealing Park Green Infrastructure Retrofit,"$1,300,000",1300000,1
austin_wpd_2026_bond_projects_2025_11_21,4,4,D,5282.134,Tannehill Creek - Bartholomew Park Stormwater Treatment Retrofit,"$1,400,000",1400000,4
austin_wpd_2026_bond_projects_2025_11_21,4,5,E,5282.150,Lady Bird Lake - West Austin Park Water Quality Retrofits,"$2,625,000",2625000,9
austin_wpd_2026_bond_projects_2025_11_21,4,6,F,5282.162,Colorado River - CAPEX Water Quality Control,"$21,650,000",21650000,3
austin_wpd_2026_bond_projects_2025_11_21,4,7,G,5754.089,Walnut Creek - McNeil Drive Low Water Crossing Improvements,"$1,500,000",1500000,7
austin_wpd_2026_bond_projects_2025_11_21,4,8,H,5754.139,Onion Creek - Paces Mill Creek Flood Risk Reduction,"$8,100,000",8100000,2
austin_wpd_2026_bond_projects_2025_11_21,4,9,I,5754.145,Dry Creek North - Highland Hills Low Water Crossing Improvements,"$1,075,000",1075000,10
austin_wpd_2026_bond_projects_2025_11_21,4,10,J,5754.147,Boggy Creek - Corps Flood Control Channel Ecosystem Restoration,"$3,750,000",3750000,3
austin_wpd_2026_bond_projects_2025_11_21,4,11,K,5754.149,Country Club West - Riverside Farms Low Water Crossing Improvements Project,"$2,500,000",2500000,3
austin_wpd_2026_bond_projects_2025_11_21,4,12,L,5789.075,"Waller Creek - Guadalupe St, W. 35-37th Storm Drain Improvements","$35,000,000",35000000,9
austin_wpd_2026_bond_projects_2025_11_21,4,13,M,5789.107,Barton Creek – Oak Park Local Flood Risk Reduction Project,"$16,750,000",16750000,8
austin_wpd_2026_bond_projects_2025_11_21,4,14,N,5789.121,Taylor Slough South - Warren St Storm Drain Improvements,"$6,255,000",6255000,10
austin_wpd_2026_bond_projects_2025_11_21,4,15,O,5789.126,Walnut Creek - North Acres Storm Drain Improvements,"$21,250,000",21250000,"1,4"
austin_wpd_2026_bond_projects_2025_11_21,4,16,P,5789.127,"Zilker, Bluebonnet Hether, Water and Wastewater Pipeline Renewal","$11,000,000",11000000,"5,9"
austin_wpd_2026_bond_projects_2025_11_21,4,17,Q,5789.136,Slaughter Creek - Vassal Dr Storm Drain Improvements,"$7,700,000",7700000,5
austin_wpd_2026_bond_projects_2025_11_21,4,18,R,5789.139,Walnut Creek - West Cow Path Flood Risk Reduction,"$11,250,000",11250000,6
austin_wpd_2026_bond_projects_2025_11_21,4,19,S,5789.141,Boggy Creek - Oakwood Cemetery Storm Drain Improvements,"$7,350,000",7350000,1
austin_wpd_2026_bond_projects_2025_11_21,5,20,T,5789.150,Lady Bird Lake – Citywide Storm Drain Renewal Program – Phase 1,"$3,000,000",3000000,9
austin_wpd_2026_bond_projects_2025_11_21,5,21,U,5789.145,Williamson Creek - Brassiewood Dr Ph 3 Neighborhood Stormdrain Improvements,"$20,000,000",20000000,2
austin_wpd_2026_bond_projects_2025_11_21,5,22,V,5789.146,East Bouldin - Annie Street Flood Risk Reduction Project - Phase 2,"$4,450,000",4450000,"3,9"
austin_wpd_2026_bond_projects_2025_11_21,5,23,W,5848.053,Boggy Creek - Clarkson Tributary Rehabilitation,"$5,195,000",5195000,9
austin_wpd_2026_bond_projects_2025_11_21,5,24,X,5848.070,Shoal Creek - Grover Channel Stabilization (from Brentwood PER),"$22,000,000",22000000,7
austin_wpd_2026_bond_projects_2025_11_21,5,25,Y,5848.071,Walnut Creek - Wells Branch Willow Bend Stream Restoration,"$5,000,000",5000000,7
austin_wpd_2026_bond_projects_2025_11_21,5,26,Z,5848.087,Barton Creek Tributary - Sunken Gardens Erosion Protection,"$7,125,000",7125000,5
austin_wpd_2026_bond_projects_2025_11_21,5,27,AA,5848.091,Walnut Creek - Eubank Tributary Stream Stabilization,"$5,200,000",5200000,7
austin_wpd_2026_bond_projects_2025_11_21,5,28,AB,5848.092,Little Walnut Creek - Loyola Lane & Dottie Jordan Park Stream Stabilization,"$4,000,000",4000000,1
austin_wpd_2026_bond_projects_2025_11_21,5,29,AC,6039.109,Shoal Creek - Brentwood Integrated Drainage Improvements,"$33,500,000",33500000,"4,7,9"
austin_wpd_2026_bond_projects_2025_11_21,5,30,AD,7492.011,Walnut Creek - Duval East and Duval West Dam Modernization,"$4,200,000",4200000,7
austin_wpd_2026_bond_projects_2025_11_21,5,31,AE,7492.032,Shoal Creek - Northwest Park Dam Rehabilitation and Modernization,"$10,500,000",10500000,7
austin_wpd_2026_bond_projects_2025_11_21,5,32,AF,7492.045,Bull Creek - Bintliff Dr Dam Modernization,"$2,750,000",2750000,6
austin_wpd_2026_bond_projects_2025_11_21,5,33,AG,8598.014,Boggy Creek - MLK TOD Stormwater Conveyance Improvements Phase 3,"$1,500,000",1500000,"1,9"
austin_wpd_2026_bond_projects_2025_11_21,5,34,AH,9999.235,Walnut Creek - Oak Creek Drive Low Water Crossing,"$5,000,000",5000000,7
austin_wpd_2026_bond_projects_2025_11_21,5,35,AI,9999.236,"Johnson Creek - 11th, 12th & Meridian St Low Water Crossings","$8,750,000",8750000,1
austin_wpd_2026_bond_projects_2025_11_21,5,36,AJ,10878.010,Waller Creek - Waller Creek Tunnel Outlet Improvement Project,"$8,750,000",8750000,9
austin_wpd_2026_bond_projects_2025_11_21,5,37,AK,11889.004,William Cannon Drive Corridor - US 290 to East of Brodie Ln,"$2,625,000",2625000,"5,8"
